date,brand,segment,purpose,derogation_flag,derogation_bps,usage_count,failed_calls,margin,conversion_flag,converted_margin,derogation_pct
2026-02-05,Brand E,Corporate,Auto Loan,0,313.48595440305166,9,0,103.7460966877498,1,933.7148701897481,0
2025-12-30,Brand E,Corporate,Personal Loan,0,5.74623481676878,7,1,65.66285776912912,1,459.64000438390383,0
2026-02-25,Brand B,Corporate,Personal Loan,0,381.66981801663843,2,0,215.62446139776534,0,0.0,0
2026-02-14,Brand E,Institutional,Personal Loan,0,370.02649833789246,1,2,80.35306324328057,0,0.0,0
2026-01-05,Brand E,Institutional,Home Loan,0,415.1628402973506,8,1,236.75181470062915,0,0.0,0
2026-03-08,Brand E,SME,Business Loan,0,420.7253366534067,9,0,100.67634781380431,0,0.0,0
2026-02-28,Brand C,Institutional,Home Loan,0,283.19984738023425,5,2,62.12800508946302,1,310.6400254473151,0
2026-02-28,Brand E,Institutional,Personal Loan,0,390.0369678116453,6,2,74.82436624812141,0,0.0,0
2026-01-08,Brand E,Retail,Business Loan,1,246.1975627402596,2,4,260.3175621864767,0,0.0,100
2025-12-18,Brand E,SME,Home Loan,0,475.7649182091502,5,1,142.74205408506856,1,713.7102704253427,0
2026-01-06,Brand A,SME,Home Loan,0,95.34926489371736,4,1,125.56666034185447,1,502.2666413674179,0
2026-02-06,Brand C,Institutional,Home Loan,0,457.8085460369496,8,0,172.79970492813163,1,1382.397639425053,0
2025-12-17,Brand B,Retail,Personal Loan,0,129.26518063386155,8,4,208.23314221252107,1,1665.8651377001686,0
2026-01-14,Brand A,Retail,Auto Loan,0,51.361686843426014,5,1,59.27556132827426,0,0.0,0
2026-01-22,Brand D,SME,Business Loan,0,219.55222370348372,8,2,274.54712836263286,0,0.0,0
2025-12-17,Brand C,Retail,Personal Loan,0,307.4586212080297,6,1,289.6203412050993,0,0.0,0
2026-02-17,Brand C,Corporate,Business Loan,0,115.49493659997611,6,4,154.3267040387173,0,0.0,0
2026-02-13,Brand D,Institutional,Personal Loan,0,277.8981205721489,4,3,153.15722562886418,0,0.0,0
2026-01-05,Brand D,Corporate,Home Loan,0,403.94667846725235,3,2,269.6399803161179,0,0.0,0
2026-01-17,Brand D,SME,Home Loan,0,128.54248290186138,9,1,157.3279495343619,1,1415.951545809257,0
2026-03-01,Brand B,SME,Auto Loan,0,290.1611229571015,5,2,264.04748370286586,0,0.0,0
2026-02-11,Brand E,Retail,Auto Loan,0,169.65629809654016,4,0,57.084236122347015,0,0.0,0
2026-01-06,Brand C,Retail,Business Loan,0,264.88423376524014,6,2,172.41265219199124,0,0.0,0
2026-02-02,Brand E,SME,Auto Loan,0,333.4595097874847,4,1,288.1072611930904,0,0.0,0
2026-02-12,Brand E,SME,Auto Loan,0,175.2112859080462,6,0,113.20116468266815,0,0.0,0
2026-01-26,Brand D,Corporate,Business Loan,0,497.241441226067,8,0,116.53870511310787,1,932.3096409048629,0
2026-02-13,Brand B,Corporate,Personal Loan,0,281.88759921482045,8,0,207.53074717815684,0,0.0,0
2026-03-05,Brand A,Retail,Auto Loan,0,412.23077954646936,6,3,281.5477208302418,1,1689.286324981451,0
2025-12-30,Brand B,Corporate,Personal Loan,0,362.5676114553956,1,3,99.68556032241078,0,0.0,0
2026-02-15,Brand E,Retail,Home Loan,0,426.4026568514738,1,0,280.41275646269514,0,0.0,0
2026-02-15,Brand B,Retail,Auto Loan,0,86.90047726928395,3,1,215.75093602872016,0,0.0,0
2026-01-31,Brand D,Institutional,Home Loan,0,111.27685486383548,2,0,298.2618285652635,0,0.0,0
2026-02-15,Brand A,Retail,Home Loan,0,243.7055889451451,1,0,234.1147116131577,0,0.0,0
2026-02-04,Brand D,Corporate,Personal Loan,1,426.16433824272116,1,2,216.95013517932642,0,0.0,100
2026-02-08,Brand A,SME,Business Loan,0,98.80329069542937,6,2,253.7257929899916,0,0.0,0
2026-02-17,Brand E,SME,Auto Loan,0,485.53291605364916,7,2,93.78507982257312,1,656.4955587580118,0
2025-12-18,Brand A,Corporate,Personal Loan,0,63.80115415757071,8,4,286.4964032583374,0,0.0,0
2026-02-04,Brand A,SME,Business Loan,0,87.538972590254,3,2,91.39887719401564,0,0.0,0
2025-12-22,Brand A,Retail,Home Loan,0,83.61689168303771,1,2,56.417592474113555,0,0.0,0
2026-01-05,Brand B,SME,Auto Loan,0,293.0029765173098,5,1,224.46421029943554,0,0.0,0
2026-02-26,Brand B,Corporate,Home Loan,0,458.770540798318,8,3,96.14885653220841,0,0.0,0
2026-01-23,Brand E,SME,Home Loan,0,127.55569358321917,4,3,239.68829490797117,0,0.0,0
2026-01-02,Brand A,Retail,Auto Loan,0,276.51842672928075,2,3,248.75974449559436,0,0.0,0
2025-12-19,Brand C,Retail,Business Loan,0,87.88625502373037,9,4,109.17481016384829,0,0.0,0
2026-02-13,Brand E,Corporate,Business Loan,0,315.5684481038993,9,0,71.68008264380283,0,0.0,0
2025-12-29,Brand A,Corporate,Auto Loan,0,61.62316808975588,3,2,175.20524156969995,0,0.0,0
2025-12-24,Brand A,Corporate,Auto Loan,0,245.65538375634893,7,1,272.5546276420728,1,1907.8823934945094,0
2026-02-06,Brand B,Institutional,Personal Loan,0,327.59090683843374,1,4,261.8227752573448,0,0.0,0
2025-12-17,Brand E,Institutional,Personal Loan,0,289.5639583777551,8,3,79.27061412506721,0,0.0,0
2026-03-09,Brand A,Retail,Home Loan,1,70.00024135037125,8,4,291.19581612963214,0,0.0,100
2026-02-13,Brand A,Institutional,Auto Loan,0,80.68668575741466,3,1,115.98729884684201,1,347.961896540526,0
2026-02-24,Brand E,Institutional,Business Loan,0,335.69550241249414,5,4,137.34779425576014,1,686.7389712788007,0
2026-01-28,Brand C,SME,Home Loan,0,404.4546480448881,4,3,87.26256076803284,1,349.05024307213137,0
2025-12-23,Brand E,Institutional,Home Loan,0,454.03720126479544,7,0,144.4507413856615,0,0.0,0
2026-01-31,Brand E,SME,Home Loan,0,406.80575767305845,7,3,208.91027657991998,0,0.0,0
2026-01-19,Brand C,Corporate,Home Loan,0,486.9619394435973,8,3,176.51956502945876,1,1412.15652023567,0
2026-03-03,Brand E,SME,Business Loan,0,204.1259020825677,5,3,256.88487126569623,0,0.0,0
2026-03-06,Brand A,SME,Home Loan,1,165.58287711101715,5,4,210.32520281420545,0,0.0,100
2026-01-20,Brand E,Corporate,Auto Loan,0,14.092026172558448,8,1,115.88611786232606,0,0.0,0
2026-02-03,Brand C,Corporate,Personal Loan,1,224.94792799404672,5,3,189.3595079042082,0,0.0,100
2025-12-19,Brand D,Retail,Business Loan,0,325.68577620661625,1,4,66.0477814720524,0,0.0,0
2025-12-17,Brand E,Retail,Auto Loan,0,407.7043206612378,3,1,195.19764018611528,0,0.0,0
2025-12-21,Brand B,Retail,Auto Loan,0,133.72769138718516,2,0,147.4159573851171,1,294.8319147702342,0
2026-02-07,Brand A,Retail,Auto Loan,0,256.7956381846452,5,3,74.59962301395691,0,0.0,0
2025-12-19,Brand A,SME,Personal Loan,0,331.0047823070233,8,2,126.86598824769541,0,0.0,0
2026-02-07,Brand B,SME,Personal Loan,0,275.80143299204695,9,4,274.52174815024625,0,0.0,0
2026-02-16,Brand B,Retail,Personal Loan,1,137.01035870120387,9,0,196.50948685754727,0,0.0,100
2026-01-02,Brand E,Institutional,Auto Loan,1,398.14121914753116,1,0,275.8162122357628,1,275.8162122357628,100
2026-01-28,Brand B,Retail,Personal Loan,0,86.68050623596685,1,0,152.7009967436419,1,152.7009967436419,0
